"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"1" -100000 -99999.9999999689 -99999.9999999689 -99999.9999999689 -99999.9999999689 -99999.9999999689 -99999.9999999689 -99999.9999999689 -99999.9999999689 -99999.912916634 -99997.0037612053 -99978.0277065181 -99845.1874522406 -99402.2124763007 -98422.1123796261 -97224.445376963 -95914.2231189686 -94785.5672297001 -93874.3450245253 -92882.4193473593 -91969.3626120709 -91441.5075784531 -90885.9765765521 -90385.742042561 -90057.8646105635 -89871.3125894141 -89562.2684663676 -89502.6288239758 -89196.0064403455 -89260.5254510054 -89166.3419756337 -89282.3370042097 -89383.0462729658 -89169.9545479149 -89505.1394384109 -89683.18328993 -89683.606982203 -90217.2806073159 -90461.1234994876 -90719.9539947077 -91113.9215085278 -91265.9292942094 -91682.0911654253 -91931.5105026006 -92463.4866688621 -92464.5477447602 -92658.7430343761 -93286.1426173803 -93581.4042817795 -93721.3270829444
"2" -99999.9999999689 -100000 -99999.9999999689 -99999.9999999689 -99999.9999999689 -99999.9999999689 -99999.9999999689 -99999.9999999689 -99999.9999999689 -99999.9999999689 -99997.3345386932 -99975.8426245963 -99834.0752864405 -99390.2747391131 -98432.9603727761 -97243.0433521871 -95907.2905685253 -94774.5904914585 -93714.3139796786 -92782.9884224072 -91981.2851222358 -91288.8204994271 -90840.575661279 -90295.0830438202 -89764.93929658 -89720.6119685706 -89379.9505320407 -88979.2724208454 -89010.6311933668 -89086.4216519846 -88766.7234333188 -89134.933413591 -89142.3449433545 -89510.7249835071 -89600.5699694051 -89706.3345194256 -89776.9370527125 -90105.2730970627 -90166.3378308476 -90380.6047129783 -90824.4032322271 -91129.2965625577 -91517.8810458964 -91792.6312663768 -91943.7339784436 -92489.9875858628 -93020.7820004033 -93149.710905184 -93618.7123905653 -94040.7585946935
"3" -99999.9999999689 -99999.9999999689 -100000 -99999.9999999689 -99999.9999999689 -99999.9999999689 -99999.9999999689 -99999.9999999689 -99999.7658094674 -99999.9258032955 -99996.3431513307 -99973.3463535262 -99837.4960585771 -99369.3063969252 -98424.7226729046 -97160.7225991807 -95884.4778385677 -94731.0032110903 -93644.5292735413 -92812.7183877571 -91881.9972831189 -91327.3581321657 -90620.84808716 -90103.2596095844 -89792.9852917486 -89619.8956183661 -89250.2164352934 -89170.3706294151 -88932.2406303764 -88705.8257838773 -88807.181481861 -88924.7080061749 -89084.9552080773 -89161.1270122172 -89455.5331406138 -89552.9300431643 -89774.8598895961 -89810.4615092255 -90388.3876086227 -90857.2214347186 -90731.7517982617 -91199.5867864341 -91593.6875706245 -91599.4578862566 -92207.3784422189 -92149.2409430262 -92852.2453461788 -93088.3921583542 -93406.4727746852 -93802.6331481601
"4" -99999.9999999689 -99999.9999999689 -99999.9999999689 -100000 -99999.9999999689 -99999.9999999689 -99999.9999999689 -99999.9999999689 -99999.9999999689 -99999.4678203339 -99997.8313549094 -99972.1756298629 -99846.7770861139 -99379.6859747948 -98378.8811561019 -97115.6095825598 -95787.9207684325 -94630.8848469107 -93601.5267745372 -92666.4085097822 -91913.5822618267 -91161.7549695512 -90648.016108418 -90152.0146221232 -89738.3135624379 -89147.7092356653 -89289.2904790652 -88972.7836426344 -89000.1632077945 -89132.3240179138 -88749.5765536949 -88988.0688597043 -89270.1088796806 -89134.062332522 -89240.5813061058 -89369.1969963099 -89628.073396865 -89729.7040625998 -90025.5262394278 -90288.1244082904 -90765.6173979373 -90988.0224283759 -91554.0448301287 -91573.5768145112 -91975.2723260577 -92377.6327076904 -92869.6526908627 -93023.2898416352 -93195.74486636 -93538.880766666
"5" -99999.9999999689 -99999.9999999689 -99999.9999999689 -99999.9999999689 -100000 -99999.9999999689 -99999.9999999689 -99999.9999999689 -99999.9913230576 -99999.7817750092 -99997.9615420716 -99970.766990361 -99830.3729197112 -99364.4210101506 -98352.7210848537 -97075.3020398394 -95795.1022338269 -94537.6511531451 -93477.6145046867 -92596.9475571867 -91820.353476224 -91020.0979389717 -90617.432172282 -90002.6916253556 -89518.7245730938 -89238.5871673738 -89002.3870679759 -88995.5523115728 -88895.8964923615 -88714.317372138 -88513.2675274291 -88759.2006403391 -88642.9842788106 -89169.8387172368 -89322.3782607848 -89347.9501446388 -89455.151556733 -89698.4218298888 -90209.1287402554 -90351.7622235077 -90614.1351426695 -90815.1298982499 -91501.6520647082 -91623.4180118216 -91929.2601865958 -92232.5108553911 -92437.8582557483 -92864.0641607739 -93438.0644490715 -93463.1833459095
"6" -99999.9999999689 -99999.9999999689 -99999.9999999689 -99999.9999999689 -99999.9999999689 -100000 -99999.9999999689 -99999.9999999689 -99999.9999999689 -99999.7331791262 -99996.8823556232 -99968.6752420218 -99833.5485891509 -99348.9038791958 -98347.2052126183 -97025.7687429363 -95711.8690810499 -94556.1992983322 -93443.5170670844 -92515.1776564529 -91668.414303721 -91152.3856578814 -90445.6069049074 -90019.6223946309 -89584.0832058476 -89119.4274109426 -88991.3468379312 -88988.2629002704 -88601.593748713 -88668.2477868954 -88506.45456758 -88766.7696406967 -88855.2855166922 -88794.7870955141 -89030.6506823979 -89230.8089820215 -89676.1931750081 -89754.5428001832 -90085.2379040218 -90385.747679152 -90363.4365752978 -90688.2593055141 -91143.1753977147 -91518.8598945367 -91797.0655204395 -92231.5096357133 -92704.8994913628 -92651.9924087646 -92970.8244152047 -93582.1695032482
"7" -99999.9999999689 -99999.9999999689 -99999.9999999689 -99999.9999999689 -99999.9999999689 -99999.9999999689 -100000 -100000 -100000 -100000 -99997.2616338808 -99970.102010393 -99827.5321154075 -99341.9778546653 -98266.2937920132 -96927.4114943174 -95540.6737780214 -94389.3422025945 -93344.5286377718 -92429.5382038349 -91873.518793516 -91006.0276446652 -90518.7701655458 -89659.1470541033 -89292.9496803233 -89063.5084674032 -88705.9485972331 -88506.4793842819 -88629.1735531763 -88941.8791327808 -88187.1883753518 -88383.2742934687 -88813.1933490603 -88442.0758883883 -88696.6340016927 -89540.7844085602 -89355.5850454117 -89567.5872095396 -90196.2179785979 -90575.6357803601 -90137.2292579974 -90598.0844023258 -90908.5120570657 -91449.5192493496 -91493.3989365342 -92469.4862792733 -92309.9316629898 -92599.7274461681 -93341.2750059595 -93716.6192337099
"8" -99999.9999999689 -99999.9999999689 -99999.9999999689 -99999.9999999689 -99999.9999999689 -99999.9999999689 -100000 -100000 -100000 -99999.4603781976 -99994.541853527 -99962.8260960915 -99809.856354747 -99319.5587719054 -98294.4043776897 -96932.6991243772 -95468.4150847348 -94393.8456979603 -93271.3718186291 -92536.7570249975 -91461.4413289986 -90528.9948821413 -90138.185638601 -89826.5968957648 -89396.2066837311 -89267.3576772492 -88968.9452075385 -88833.8610498415 -88531.2314581212 -88319.7929229584 -88550.3534457175 -87990.4702735465 -88591.1838320683 -88760.5861925583 -89146.9079910043 -89104.5113921761 -89629.6553247254 -89268.4809585675 -90018.983369619 -90225.0611421874 -90118.1470999441 -91106.0899666886 -91254.6597232931 -91520.1724956032 -91182.6633337661 -92224.8612510514 -92243.6202303053 -92868.5160200362 -93283.3940707157 -93831.1484810465
"9" -99999.9999999689 -99999.9999999689 -99999.7658094674 -99999.9999999689 -99999.9913230576 -99999.9999999689 -100000 -100000 -99999.9980277843 -100000 -99996.6612939015 -99971.020534041 -99821.4519811087 -99287.8063565595 -98270.3550979051 -96874.5231047751 -95456.2415403741 -94434.2131768129 -93337.6913779039 -92370.5779766381 -91467.6829729618 -90920.5069995946 -90348.2204667788 -89556.0798100507 -89277.5826700898 -88950.0252420056 -88917.2285852008 -88787.8563131023 -88324.9450171718 -88763.3338231431 -88162.6890916273 -88629.0010787122 -89036.8680416556 -88670.7034574552 -88911.7319787883 -88339.0173748941 -89452.976997525 -89569.1727895979 -89310.0177017159 -90547.5438907609 -90526.4712830219 -91072.9085302067 -90855.7591617908 -91296.1938740265 -91920.0968808893 -91882.5266139458 -92099.214792622 -92604.7396760996 -93305.0549276182 -93157.166014212
"10" -99999.912916634 -99999.9999999689 -99999.9258032955 -99999.4678203339 -99999.7817750092 -99999.7331791262 -100000 -99999.4603781976 -100000 -99999.9076167124 -99995.1204398741 -99968.3601491733 -99815.9731680104 -99310.6297381985 -98183.0270646258 -96817.7963935427 -95550.3003038265 -94176.6022129795 -93036.1931620746 -92240.9543542443 -91378.0389128077 -90675.3063871016 -90216.6460932701 -89477.5593480177 -89439.850318871 -88993.3482131046 -88838.1949450247 -88490.4163589773 -88502.7395370832 -88238.2569767457 -88141.9997952735 -88624.9686215412 -87972.2792424086 -88870.0804170862 -88568.4327808687 -89033.3794891886 -89321.348134633 -89448.6445500414 -89490.1672085095 -90012.0532875385 -90197.5283104107 -90659.6516605086 -90564.8952906432 -91175.1016876635 -91612.6361366948 -91600.734226688 -92152.4463542197 -92444.8267610139 -93128.0661322743 -93448.2574672599
